Date : 2024-09-20 22:39:11
Directory : e:\Coding Projects\join
Total : 91 files,  20877 codes, 884 comments, 2942 blanks, all 24703 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Coding Projects\join\assets\img\plus-add-task.svg                       | XML        |          5 |          0 |          0 |          5 |
| e:\Coding Projects\join\assets\img\separator-blue.svg                      | XML        |          3 |          0 |          1 |          4 |
| e:\Coding Projects\join\assets\img\urgent-icon.svg                         | XML        |          4 |          0 |          1 |          5 |
| e:\Coding Projects\join\board.html                                         | HTML       |        242 |          6 |         25 |        273 |
| e:\Coding Projects\join\contacts.html                                      | HTML       |        114 |          0 |         12 |        126 |
| e:\Coding Projects\join\help.html                                          | HTML       |         95 |          0 |          2 |         97 |
| e:\Coding Projects\join\index.html                                         | HTML       |         23 |          0 |          7 |         30 |
| e:\Coding Projects\join\legalnotice.html                                   | HTML       |        102 |          0 |          1 |        103 |
| e:\Coding Projects\join\login.html                                         | HTML       |         87 |          0 |          1 |         88 |
| e:\Coding Projects\join\menu.html                                          | HTML       |         79 |          0 |         10 |         89 |
| e:\Coding Projects\join\menuguest.html                                     | HTML       |         85 |          0 |          1 |         86 |
| e:\Coding Projects\join\out\fonts\OpenSans-Bold-webfont.svg                | XML        |      1,830 |          0 |          0 |      1,830 |
| e:\Coding Projects\join\out\fonts\OpenSans-BoldItalic-webfont.svg          | XML        |      1,830 |          0 |          0 |      1,830 |
| e:\Coding Projects\join\out\fonts\OpenSans-Italic-webfont.svg              | XML        |      1,830 |          0 |          0 |      1,830 |
| e:\Coding Projects\join\out\fonts\OpenSans-Light-webfont.svg               | XML        |      1,831 |          0 |          0 |      1,831 |
| e:\Coding Projects\join\out\fonts\OpenSans-LightItalic-webfont.svg         | XML        |      1,835 |          0 |          0 |      1,835 |
| e:\Coding Projects\join\out\fonts\OpenSans-Regular-webfont.svg             | XML        |      1,831 |          0 |          0 |      1,831 |
| e:\Coding Projects\join\out\global.html                                    | HTML       |        317 |          3 |      1,161 |      1,481 |
| e:\Coding Projects\join\out\index.html                                     | HTML       |         26 |          3 |         36 |         65 |
| e:\Coding Projects\join\out\script.js.html                                 | HTML       |        143 |          3 |         37 |        183 |
| e:\Coding Projects\join\out\scripts\linenumber.js                          | JavaScript |         22 |          1 |          3 |         26 |
| e:\Coding Projects\join\out\scripts\prettify\lang-css.js                   | JavaScript |          2 |          0 |          1 |          3 |
| e:\Coding Projects\join\out\scripts\prettify\prettify.js                   | JavaScript |         28 |          0 |          1 |         29 |
| e:\Coding Projects\join\out\styles\jsdoc-default.css                       | CSS        |        304 |          0 |         55 |        359 |
| e:\Coding Projects\join\out\styles\prettify-jsdoc.css                      | CSS        |         78 |         17 |         17 |        112 |
| e:\Coding Projects\join\out\styles\prettify-tomorrow.css                   | CSS        |         74 |         33 |         26 |        133 |
| e:\Coding Projects\join\privacypolicy.html                                 | HTML       |        448 |          0 |          1 |        449 |
| e:\Coding Projects\join\scripts\addtask.js                                 | JavaScript |        234 |        112 |         51 |        397 |
| e:\Coding Projects\join\scripts\addtaskdialog.js                           | JavaScript |        243 |        112 |         54 |        409 |
| e:\Coding Projects\join\scripts\board.js                                   | JavaScript |        306 |         46 |         68 |        420 |
| e:\Coding Projects\join\scripts\contacts-templates.js                      | JavaScript |         73 |         30 |          7 |        110 |
| e:\Coding Projects\join\scripts\contacts.js                                | JavaScript |        226 |        129 |         48 |        403 |
| e:\Coding Projects\join\scripts\globalVariables.js                         | JavaScript |          0 |          0 |          6 |          6 |
| e:\Coding Projects\join\scripts\register.js                                | JavaScript |        187 |         86 |         21 |        294 |
| e:\Coding Projects\join\scripts\script.js                                  | JavaScript |        186 |        107 |         51 |        344 |
| e:\Coding Projects\join\scripts\summary.js                                 | JavaScript |        150 |         70 |         15 |        235 |
| e:\Coding Projects\join\scripts\taskDetail.js                              | JavaScript |         77 |         12 |         18 |        107 |
| e:\Coding Projects\join\scripts\taskUpdateDelete.js                        | JavaScript |        202 |         78 |         40 |        320 |
| e:\Coding Projects\join\scripts\templates.js                               | JavaScript |        148 |          0 |         21 |        169 |
| e:\Coding Projects\join\scripts\usercontact.js                             | JavaScript |         41 |         15 |          8 |         64 |
| e:\Coding Projects\join\signup.html                                        | HTML       |        100 |          0 |          1 |        101 |
| e:\Coding Projects\join\styles\addtask.css                                 | CSS        |        737 |          0 |        147 |        884 |
| e:\Coding Projects\join\styles\assets.css                                  | CSS        |          6 |          0 |          3 |          9 |
| e:\Coding Projects\join\styles\board.css                                   | CSS        |      1,106 |         12 |        272 |      1,390 |
| e:\Coding Projects\join\styles\contacts.css                                | CSS        |        906 |          0 |        277 |      1,183 |
| e:\Coding Projects\join\styles\fonts.css                                   | CSS        |         16 |          0 |          4 |         20 |
| e:\Coding Projects\join\styles\help.css                                    | CSS        |        112 |          0 |         28 |        140 |
| e:\Coding Projects\join\styles\menu.css                                    | CSS        |        272 |          2 |         59 |        333 |
| e:\Coding Projects\join\styles\privacy-and-legal.css                       | CSS        |        105 |          0 |         26 |        131 |
| e:\Coding Projects\join\styles\register.css                                | CSS        |        491 |          0 |         73 |        564 |
| e:\Coding Projects\join\styles\style.css                                   | CSS        |          9 |          0 |          3 |         12 |
| e:\Coding Projects\join\styles\summary.css                                 | CSS        |        541 |          1 |         96 |        638 |
| e:\Coding Projects\join\styles\taskDetail.css                              | CSS        |        190 |          6 |         34 |        230 |
| e:\Coding Projects\join\summary.html                                       | HTML       |        131 |          0 |          1 |        132 |
| e:\Coding Projects\join\summaryguest.html                                  | HTML       |        131 |          0 |          2 |        133 |
| e:\Coding Projects\join\up.bat                                             | Batch      |          4 |          0 |          0 |          4 |
| Total                                                                      |            |     20,877 |        884 |      2,942 |     24,703 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
