Date : 2024-09-13 20:00:02
Directory : e:\Coding Projects\join
Total : 69 files,  16444 codes, 95 comments, 2201 blanks, all 18740 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Coding Projects\join\out\fonts\OpenSans-Italic-webfont.svg              | XML        |      1,830 |          0 |          0 |      1,830 |
| e:\Coding Projects\join\out\fonts\OpenSans-Light-webfont.svg               | XML        |      1,831 |          0 |          0 |      1,831 |
| e:\Coding Projects\join\out\fonts\OpenSans-LightItalic-webfont.svg         | XML        |      1,835 |          0 |          0 |      1,835 |
| e:\Coding Projects\join\out\fonts\OpenSans-Regular-webfont.svg             | XML        |      1,831 |          0 |          0 |      1,831 |
| e:\Coding Projects\join\out\global.html                                    | HTML       |        317 |          3 |      1,161 |      1,481 |
| e:\Coding Projects\join\out\index.html                                     | HTML       |         26 |          3 |         36 |         65 |
| e:\Coding Projects\join\out\script.js.html                                 | HTML       |        143 |          3 |         37 |        183 |
| e:\Coding Projects\join\out\scripts\linenumber.js                          | JavaScript |         22 |          1 |          3 |         26 |
| e:\Coding Projects\join\out\scripts\prettify\lang-css.js                   | JavaScript |          2 |          0 |          1 |          3 |
| e:\Coding Projects\join\out\scripts\prettify\prettify.js                   | JavaScript |         28 |          0 |          1 |         29 |
| e:\Coding Projects\join\out\styles\jsdoc-default.css                       | CSS        |        304 |          0 |         55 |        359 |
| e:\Coding Projects\join\out\styles\prettify-jsdoc.css                      | CSS        |         78 |         17 |         17 |        112 |
| e:\Coding Projects\join\out\styles\prettify-tomorrow.css                   | CSS        |         74 |         33 |         26 |        133 |
| e:\Coding Projects\join\privacypolicy.html                                 | HTML       |        290 |          0 |          0 |        290 |
| e:\Coding Projects\join\signup.html                                        | HTML       |         41 |          0 |          5 |         46 |
| e:\Coding Projects\join\styles\addtask.css                                 | CSS        |        640 |          0 |        191 |        831 |
| e:\Coding Projects\join\styles\assets.css                                  | CSS        |          6 |          0 |          3 |          9 |
| e:\Coding Projects\join\styles\board.css                                   | CSS        |        403 |         17 |         77 |        497 |
| e:\Coding Projects\join\styles\contacts.css                                | CSS        |        555 |          1 |        178 |        734 |
| e:\Coding Projects\join\styles\fonts.css                                   | CSS        |         16 |          0 |          3 |         19 |
| e:\Coding Projects\join\styles\help.css                                    | CSS        |         46 |          0 |         10 |         56 |
| e:\Coding Projects\join\styles\menu.css                                    | CSS        |        263 |          2 |         54 |        319 |
| e:\Coding Projects\join\styles\privacy-and-legal.css                       | CSS        |         81 |          0 |         22 |        103 |
| e:\Coding Projects\join\styles\register.css                                | CSS        |        376 |          0 |         55 |        431 |
| e:\Coding Projects\join\styles\style.css                                   | CSS        |          9 |          0 |          3 |         12 |
| e:\Coding Projects\join\styles\summary.css                                 | CSS        |        371 |          0 |         64 |        435 |
| e:\Coding Projects\join\styles\taskDetail.css                              | CSS        |        179 |          6 |         32 |        217 |
| e:\Coding Projects\join\summary.html                                       | HTML       |         93 |          0 |          8 |        101 |
| e:\Coding Projects\join\summaryguest.html                                  | HTML       |         91 |          0 |          7 |         98 |
| e:\Coding Projects\join\up.bat                                             | Batch      |          4 |          0 |          0 |          4 |
| Total                                                                      |            |     16,444 |         95 |      2,201 |     18,740 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
